,File,Label,annotated,path,Label_bio,Label_bio_str
0,example_cluster22_image23.png,Stroma,Yes,output/export/clusters/example_cluster22_image23.png,['Stroma'],Stroma
1,example_cluster31_image14.png,Stroma,Yes,output/export/clusters/example_cluster31_image14.png,['Stroma'],Stroma
2,example_cluster72_image0.png,Glass/Blank,Yes,output/export/clusters/example_cluster72_image0.png,[],Glass/Blank
3,example_cluster103_image23.png,Artifact|Stroma|Tumor,Yes,output/export/clusters/example_cluster103_image23.png,"['Stroma', 'Tumor']",Stroma|Tumor
4,example_cluster112_image14.png,Tumor,Yes,output/export/clusters/example_cluster112_image14.png,['Tumor'],Tumor
5,example_cluster153_image0.png,Liver|Pigment,Yes,output/export/clusters/example_cluster153_image0.png,"['Liver', 'Pigment']",Liver|Pigment
8,example_cluster32_image4.png,Tumor,Yes,output/export/clusters/example_cluster32_image4.png,['Tumor'],Tumor
9,example_cluster186_image19.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster186_image19.png,"['Stroma', 'Tumor']",Stroma|Tumor
10,example_cluster116_image10.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster116_image10.png,"['Stroma', 'Tumor']",Stroma|Tumor
11,example_cluster33_image12.png,RBCs,Yes,output/export/clusters/example_cluster33_image12.png,['RBCs'],RBCs
12,example_cluster24_image21.png,Normal,Yes,output/export/clusters/example_cluster24_image21.png,['Normal'],Normal
13,example_cluster114_image12.png,Connective tissue|RBCs,Yes,output/export/clusters/example_cluster114_image12.png,"['RBCs', 'Connective tissue']",RBCs|Connective tissue
14,example_cluster105_image21.png,Tumor,Yes,output/export/clusters/example_cluster105_image21.png,['Tumor'],Tumor
15,example_cluster12_image6.png,Stroma,Yes,output/export/clusters/example_cluster12_image6.png,['Stroma'],Stroma
16,example_cluster110_image16.png,WBCs,Yes,output/export/clusters/example_cluster110_image16.png,['WBCs'],WBCs
17,example_cluster133_image2.png,Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster133_image2.png,"['Lymphocytes', 'Tumor']",Lymphocytes|Tumor
18,example_cluster188_image17.png,Orange Images|Stroma|Tumor,Yes,output/export/clusters/example_cluster188_image17.png,"['Stroma', 'Tumor']",Stroma|Tumor
19,example_cluster52_image2.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster52_image2.png,"['Stroma', 'Tumor']",Stroma|Tumor
21,example_cluster104_image22.png,Tumor,Yes,output/export/clusters/example_cluster104_image22.png,['Tumor'],Tumor
22,example_cluster23_image22.png,Tumor,Yes,output/export/clusters/example_cluster23_image22.png,['Tumor'],Tumor
23,example_cluster32_image13.png,Plasmacell|Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster32_image13.png,"['Lymphocytes', 'Stroma', 'Plasmacell']",Lymphocytes|Stroma|Plasmacell
24,example_cluster187_image18.png,RBCs,Yes,output/export/clusters/example_cluster187_image18.png,['RBCs'],RBCs
